分支号	始节点	末节点	风量	风阻	阻力	是否固定	风机名称	可调节性	局部风阻	始末节点标高差	平均密度	附加阻力
81	159	160	0.487969	0.001196907	0.000285	0	0	可调	0	0	1.23	0
82	159	448	0.991107	0.004139294	0.004066	0	0	可调	0	0	1.23	0
83	159	152	1.070719	4.320242277	4.952895	0	0	可调	0	0	1.23	0
84	16	682	1.862143	0.001183247	0.004103	0	0	可调	0	0	1.23	0
85	160	151	0.487969	20.79378912	4.951287	0	0	可调	0	0	1.23	0
86	161	415	134.029879	0.01086571	195.191706	0	0	可调	0	0	1.23	0
87	162	152	0.812851	0.001669374	0.001103	0	0	可调	0	0	1.23	0
88	162	148	28.171795	0.000155265	0.123226	0	0	可调	0	0	1.23	0
89	163	164	3.593169	7.63698E-05	0.000986	0	0	可调	0	0	1.23	0
90	164	165	3.593169	0.000190847	0.002464	0	0	可调	0	0	1.23	0
91	165	166	3.593169	0.00038456	0.004965	0	0	可调	0	0	1.23	0
92	166	167	3.593169	0.000190847	0.002464	0	0	可调	0	0	1.23	0
93	167	132	3.593169	7.63698E-05	0.000986	0	0	可调	0	0	1.23	0
94	168	435	82.920634	0.002462829	16.933994	0	0	可调	0	0	1.23	0
95	169	168	82.920634	0.035558402	244.493581	0	0	可调	0	0	1.23	0
96	17	685	10.239373	0.001176377	0.123337	0	0	可调	0	0	1.23	0
97	170	416	14.441879	0.021868364	4.561038	0	0	可调	0	0	1.23	0
98	171	170	14.441879	0.007959289	1.660052	0	0	可调	0	0	1.23	0
99	172	428	27.479027	0.001564799	1.181575	0	0	可调	0	0	1.23	0
100	173	438	115.697178	0.002266855	30.343758	0	0	可调	0	0	1.23	0
101	174	437	1.96985	0.000807668	0.003134	0	0	可调	0	0	1.23	0
102	175	4	1.249417	0.001213291	0.001894	0	0	可调	0	0	1.23	0
103	176	671	18.818804	0.0044204	1.565473	0	0	可调	0	0	1.23	0
104	177	202	1.475565	0.015056317	0.032782	0	0	可调	0	0	1.23	0
105	178	116	0.075141	0.000885556	0.000005	0	0	可调	0	0	1.23	0
106	179	178	0.036675	0.002973855	0.000004	0	0	可调	0	0	1.23	0
107	179	115	0.062751	0.001015825	0.000004	0	0	可调	0	0	1.23	0
108	18	593	0.34	0.001937716	0.000224	0	0	可调	0	0	1.23	0
109	18	183	24.625745	0.002952971	1.790762	0	0	可调	0	0	1.23	0
110	180	14	1.723323	0.002544243	0.007556	0	0	可调	0	0	1.23	0
111	181	211	15.632804	0	0	0	0	可调	0	0	1.23	0
112	182	19	14.905343	0.050515956	11.223092	0	0	可调	0	0	1.23	0
113	183	604	24.62	0.00643411	3.9	0	0	可调	0	0	1.23	0
114	184	24	1.203391	0.011240549	0.016278	0	0	可调	0	0	1.23	0
115	184	185	10.685082	0.005199973	0.593686	0	0	可调	0	0	1.23	0
116	185	23	0.067009	0.011135346	0.00005	0	0	可调	0	0	1.23	0
117	185	186	10.618073	0.004807028	0.541961	0	0	可调	0	0	1.23	0
118	186	601	10.963439	0.005631655	0.676908	0	0	可调	0	0	1.23	0
119	187	548	4.655703	0.444444405	9.633586	0	0	可调	0	0	1.23	0
120	188	187	1.579384	0.027048005	0.06747	0	0	可调	0	0	1.23	0
121	188	562	3.171644	1.550574514	15.597734	0	0	可调	0	0	1.23	0
122	189	190	7.023747	0	0	0	0	可调	0	0	1.23	0
123	189	578	6.978654	0.004110665	0.200196	0	0	可调	0	0	1.23	0
124	19	614	14.905343	0.002104832	0.467629	0	0	可调	0	0	1.23	0
