7220988	6216488	18
7220732	6216048	18
7220033	6214846	18
7219433	6213818	18
7219036	6212903	18
7218856	6212409	18
7218430	6211453	18
7218133	6211077	18
7217806	6210663	18
7217367	6210311	18
7216438	6209447	18
7215969	6208602	18
7215678	6208080	18
7215192	6207205	18
7214653	6206446	18
7213779	6205610	18
7213535	6205380	18
7213095	6204965	18
7212357	6204337	18
7212718	6205133	18
7213325	6205865	18
7213869	6206596	18
7214298	6207397	18
7214718	6208226	18
7215360	6209205	18
7215724	6209826	18
7216281	6210584	18
7216965	6211205	18
7217645	6211846	18
7217813	6212126	18
7218138	6212668	18
7218598	6213472	18
7219296	6214406	18
7219713	6214895	18
7220066	6215336	18
7260850	6217419	22
7259150	6216611	22
7257735	6215638	22
7256933	6215218	22
7256104	6214782	22
7254771	6214129	22
7253923	6213737	22
7253388	6213500	22
7252745	6213221	22
7251965	6212887	22
7249998	6212146	22
7249298	6211874	22
7248408	6211528	22
7247698	6211495	22
7246853	6211456	22
7245898	6211475	22
7244539	6211561	22
7243306	6211555	22
7242137	6211538	22
7241656	6211531	22
7240925	6211553	22
7239613	6211594	22
7238281	6211598	22
7237708	6211598	22
7237016	6211725	22
7236211	6211871	22
7235714	6211942	22
7234251	6212151	22
7232563	6212161	22
7231721	6212010	22
7231016	6211910	22
7230245	6211737	22
7229485	6211516	22
7228723	6211285	22
7228020	6210903	22
7227333	6210485	22
7226745	6210208	22
7225918	6209792	22
7225250	6209393	22
7224634	6208942	22
7223903	6208620	22
7223181	6208338	22
7222448	6208016	22
7221723	6207693	22
7221037	6207318	22
7220432	6206832	22
7219873	6206296	22
7219366	6205691	22
7218807	6205168	22
7218298	6204591	22
7217791	6204000	22
7218160	6204131	22
7218550	6204269	22
7219193	6204747	22
7219741	6205224	22
7220484	6205870	22
7221142	6206346	22
7221860	6206739	22
7222605	6207093	22
7223200	6207383	22
7224311	6207968	22
7224726	6208186	22
7225711	6208715	22
7226205	6209006	22
7227053	6209533	22
7227724	6209941	22
7228555	6210398	22
7229286	6210748	22
7229841	6210947	22
7230723	6211110	22
7231529	6211170	22
7232334	6211194	22
7232591	6211193	22
7233143	6211190	22
7234046	6211120	22
7234770	6211035	22
7235214	6210976	22
7235582	6210928	22
7236231	6210850	22
7237334	6210708	22
7238080	6210616	22
7238597	6210582	22
7239785	6210546	22
7240211	6210553	22
7240591	6210558	22
7241397	6210578	22
7241949	6210591	22
