分支号	风量	是否固定
426	4.96	0
427	15.311162	0
428	32.550533	0
429	60.371613	0
430	40.570286	0
431	39.868083	0
432	39.174501	0
433	37.312358	0
434	2.495138	0
435	2.140284	0
436	34.81722	0
437	24.577847	0
438	4.635422	0
439	33.850891	0
440	1.862143	0
441	38.486313	0
442	0.440177	0
443	32.110356	0
444	0.693582	0
445	40.348456	0
446	0.702204	0
447	41.042038	0
448	0.906542	0
449	44.559727	0
450	0.221182	0
451	0.218995	0
452	0.48263	0
453	31.627726	0
454	2.018217	0
455	0.351656	0
456	3.73338	0
457	20.7	0
458	1.482533	0
459	39.199618	0
460	4.182012	0
461	35.017606	0
462	1.851717	0
463	30.483963	0
464	2.681926	0
465	32.33568	0
466	6.670117	0
467	23.813846	0
468	0.577644	0
469	23.236202	0
470	8.066632	0
471	15.16957	0
472	1.167169	0
473	14.002401	0
474	0.138161	0
475	6.840493	0
476	1.110423	0
477	2.622957	0
478	6.166728	0
479	6.32741	0
480	0.160683	0
481	2	0
482	4.751028	0
483	7.25281	0
484	7.695366	0
485	8.070405	0
486	8.440208	0
487	8.830045	0
488	9.138083	0
489	20.830269	0
490	0.297812	0
491	2.325145	0
492	0.308038	0
493	2.049425	0
494	11.692186	0
495	0.369802	0
496	2.7473	0
497	0.37504	0
498	3.117103	0
499	0.442556	0
500	3.492142	0
501	4.081166	0
502	3.934698	0
503	3.076319	0
504	0.202886	0
505	0.964283	0
506	6.530296	0
507	6.868265	0
508	0.874164	0
509	1.45098	0
510	7.771211	0
511	8.841767	0
512	14.219913	0
513	17.557422	0
514	19.039955	0
515	21.504754	0
516	1.70906	0
517	23.123853	0
518	4.637823	0
519	5.748246	0
520	0.403786	0
521	1.047195	0
522	6.099902	0
523	0.279402	0
524	0.767793	0
525	40.682151	0
526	1.697006	0
527	40.4	0
528	7.448505	0
529	0.655583	0
530	3.526429	0
531	0.325302	0
532	5.274259	0
533	6.755356	0
534	1.070557	0
535	5.599561	0
536	0.337969	0
537	7.728663	0
538	6.840155	0
539	6.911698	0
540	6.970848	0
541	7.017544	0
542	23.660937	0
543	7.04861	0
544	7.026566	0
545	0.022	0
546	1.955731	0
547	5.070835	0
548	11	0
549	7.68703	0
550	3.360161	0
551	9.642761	0
552	5.976356	0
553	0.031066	0
554	5.954312	0
555	0.046696	0
556	5.985378	0
557	0.05915	0
558	6.032075	0
559	22.727387	0
560	0.071543	0
561	6.091224	0
562	0.0848	0
563	6.162767	0
564	0.818847	0
565	0.464857	0
566	22.326121	0
567	0.35399	0
568	0.93355	0
569	1.222633	0
570	3.526429	0
571	20.061724	0
572	42.099755	0
573	2.354496	0
574	11.256546	0
575	12.375717	0
576	53.621776	0
577	1.11917	0
578	6.786655	0
579	5.6	0
580	3.285845	0
581	2.3421	0
582	7.7304	0
583	50.628275	0
584	2.341101	0
585	5.389299	0
586	7.956617	0
587	2.320158	0
588	13.278553	0
589	7.987259	0
590	5.291294	0
591	40.04284	0
592	0.851887	0
593	17.533662	0
594	13.094256	0
595	6.921684	0
596	1.188249	0
597	39	0
598	5.494795	0
599	14.480479	0
600	7.084581	0
601	0.902678	0
602	33.18647	0
603	32.283792	0
604	29.963633	0
605	77.252416	0
606	27.622532	0
607	25.280432	0
608	22.925936	0
609	20.58	0
610	2.928763	0
611	20.19509	0
612	64.53373	0
613	5.337355	0
614	59.196375	0
615	12.718686	0
616	6.164874	0
617	6.553812	0
618	2.346615	0
619	9.155614	0
620	13.611042	0
621	4.455428	0
622	54.740947	0
623	55.573653	0
624	1.901103	0
625	27.893314	0
626	7.642094	0
627	29.794417	0
628	10.624446	0
629	2.567318	0
630	48.060957	0
631	53.91412	0
632	5.296718	0
633	98.757798	0
634	10.624446	0
635	26.169439	0
636	0.254034	0
637	15.544993	0
638	0.313324	0
639	15.799027	0
640	1.421311	0
641	16.112351	0
642	55.097022	0
643	3.593169	0
644	27.480492	0
645	53.675711	0
646	53.362387	0
647	53.108353	0
648	52.979518	0
649	111.018557	0
650	95.469336	0
651	15.549222	0
652	94.978916	0
653	0.490419	0
654	151.971084	0
655	151.045103	0
656	31.07366	0
657	25.838262	0
658	5.310937	0
659	11.232615	0
660	135.495881	0
661	5.405089	0
662	0.384007	0
663	85.278702	0
664	4.413982	0
665	56.911922	0
666	14.001395	0
667	71.277307	0
668	33.239006	0
669	7.400744	0
670	0.476631	0
671	20.015939	0
672	3.550888	0
673	102.103698	0
674	6.896788	0
675	25.357548	0
676	2.185535	0
677	28.727516	0
678	13.362617	0
679	4.981109	0
680	15.380951	0
681	0.144613	0
682	13.218004	0
683	119.798746	0
684	124.779855	0
685	1.162601	0
686	31.6	0
687	30.913052	0
688	55.801578	0
689	46.30212	0
690	25.357548	0
691	20.944573	0
692	18.062268	0
693	43.419816	0
694	32.602705	0
695	10.817111	0
