1	1	8819993	32.7	1.4	
2	10	8819994	33.914968	2.572971	
3	100	88499927	0.389837	0.000928	
4	100	88499930	2.357463	0.416153	
5	101	88499929	11.692186	0.835087	
6	102	103	26.126987	45.759175	
7	103	104	26.938914	8.752019	
8	104	108	26.938914	29.429720	
9	105	193	13.119131	3.404983	
10	106	107	12.645901	0.404144	
11	107	197	26.938914	34.307100	
12	108	105	13.119131	0.373668	
13	108	194	13.819783	3.778393	
14	109	88799932	0.128835	0.000090	
15	109	195	26.040604	5.649439	
16	11	8839992	32.550533	14.696040	
17	110	111	0.811927	0.003176	
18	111	112	0.811927	0.002864	
19	112	103	0.811927	0.071610	
20	113	114	6.702602	0.160048	
21	114	110	0.811927	0.012622	
22	114	115	5.890675	0.096296	
23	115	116	5.953426	0.196717	
24	116	88499920	6.028567	0.759791	
25	117	179	0.099426	0.000032	
26	117	113	6.702602	0.151841	
27	118	178	0.038466	0.000005	
28	118	117	6.802028	0.147926	
29	119	88499937	1.167169	0.005475	
30	12	88299931	0.521562	0.000792	
31	120	88599913	1.481097	0.014284	
32	120	88599931	6.247566	0.874314	
33	121	88499941	1.070557	0.011874	
34	122	88599925	9.642761	6.726510	
35	123	122	1.955731	0.024906	
36	124	125	5.296718	0.460939	
37	125	126	5.296718	3.286239	
38	126	102	5.296718	4.323713	
39	127	88799911	0.476631	0.000612	
40	128	129	55.573653	11.980432	
41	129	79	55.573653	33.457880	
42	13	201	97.572392	34.852629	
43	130	88699928	2.320158	0.003941	
44	131	699923	11.232615	1.048221	
45	132	133	7.144057	0.009741	
46	133	88899913	7.144057	0.061612	
47	134	88799938	135.495881	29.843548	
48	135	136	151.971084	3.509714	
49	136	137	151.971084	3.509714	
50	137	81	151.971084	5.264572	
51	138	139	86.313364	0.545302	
52	138	141	18.731869	1.162158	
53	139	153	0.797380	0.001060	
54	139	140	85.515984	1.730739	
55	14	203	4.067988	0.002317	
56	140	88799943	85.662709	0.938369	
57	141	142	30.031000	1.113815	
58	142	140	0.146725	0.000071	
59	142	143	29.884275	0.389545	
60	143	8879995	42.910527	2.201700	
61	144	143	13.026252	0.342920	
62	145	88799937	0.435562	0.000125	
63	145	144	13.026252	0.837391	
64	146	147	13.461814	0.203464	
65	146	141	11.299131	0.271990	
66	147	145	13.461814	0.391567	
67	148	149	3.410851	0.000522	
