145	116	117	64.812885	7.394472
148	117	125	64.812885	19.078264
181	125	128	54.742091	450.766958
183	128	129	39.729265	235.318385
186	129	149	32.067002	154.430312
205	60	61	59.183427	46.872838
211	61	62	59.183427	46.874239
214	62	63	59.183427	23.437116
226	66	31	46.183427	7.840829
235	31	30	15.800738	0.949470
241	30	29	15.800738	0.316573
244	29	28	15.800738	0.194737
247	28	27	15.800738	0.189872
250	27	25	15.800738	0.158227
253	25	24	15.800738	631.804741
256	24	23	50.626409	19.532221
265	101	102	29.996518	310.280273
268	102	103	29.996518	308.299288
271	103	104	29.996518	310.177697
274	104	105	29.996518	308.834309
277	105	175	55.225358	5.473277
280	175	176	55.225358	2.287110
282	176	127	55.225358	7.105856
285	127	255	58.785178	4.965598
288	255	347	58.785178	7.117782
291	347	257	1.489036	0.055555
294	347	259	57.296142	1.622823
297	95	350	27.264562	0.914328
324	355	356	81.239686	6.657900
327	31	32	-30.382689	2.166303
349	1	2	105.846416	176.344873
385	2	569	105.714223	25.714148
409	568	570	105.714223	15.830673
445	907	625	17.959346	1.502060
457	577	578	55.178957	8.976021
463	222	223	2.338076	0.292548
469	356	511	96.552301	3.746800
475	511	262	95.917426	4.612024
481	262	258	59.479706	8.826899
487	262	705	36.437720	84.768272
490	705	700	36.437720	20.949759
816	259	288	51.242562	2.163370
819	288	287	51.242562	164.436561
830	258	257	20.463866	0.639700
833	257	190	21.952902	322.008611
850	754	261	6.053580	4.407352
1081	365	367	21.939170	3.885452
1485	476	118	4.921197	35.636328
1556	494	495	0.940751	0.006847
1559	495	110	0.940751	1.879425
1623	498	107	1.444037	49.840302
1640	497	108	13.193035	8.564004
1698	501	500	3.928770	0.474275
1707	108	107	18.896407	16.578534
1709	108	109	-5.703372	32.751152
1711	110	111	0.571385	0.011864
1713	111	112	1.249573	0.094611
1715	112	113	4.330104	0.326305
1717	118	120	10.102317	0.819928
1742	439	445	2.048423	1.397629
1745	445	446	2.048423	0.068318
1750	447	88	2.048423	0.187305
1767	81	82	-1.314199	12.345015
1769	82	83	-1.314199	0.025052
1771	83	84	-1.314199	80.658141
1773	84	85	-1.314199	0.037146
1776	85	86	-1.314199	0.024861
1779	86	87	-1.314199	0.012059
1782	87	88	-1.314199	0.034606
1793	88	89	0.734224	0.034888
1796	89	9	0.734224	0.036843
1806	10	9	2.973324	0.227214
1816	21	20	1.261963	0.003107
1819	22	21	4.417393	0.083149
1830	753	623	0.968706	0.205985
1838	623	624	0.968706	0.237250
1849	903	626	5.525871	0.050025
1855	190	189	23.952487	0.423955
1867	187	165	4.452310	1.698600
1880	165	166	5.716179	7.776535
1894	626	627	5.525871	0.103020
1900	261	756	6.053580	0.004300
1922	786	248	74.643565	379.436213
1978	199	200	0.625188	0.000409
1981	194	195	19.755819	1.039739
1983	195	166	19.755819	1.149021
1986	166	167	25.471997	45.981411
2038	168	157	30.997868	19.217356
2045	157	158	30.997868	10.175590
2051	143	159	3.122086	0.049779
2054	507	144	3.155430	0.064754
2057	508	507	3.155430	0.048644
2122	905	621	6.152800	0.293726
2137	716	718	9.494522	0.049617
2146	716	696	45.688800	47.558688
2184	757	693	-0.323533	0.000127
2190	690	692	-0.323533	0.000209
2206	604	758	-16.187596	1.255495
2208	758	517	-16.187596	176.538538
2211	517	524	10.698808	3.920273
2216	799	527	12.384378	0.136680
2222	526	444	-1.685569	0.139008
2231	442	441	-1.685569	6.511059
2237	440	439	-1.685569	6.516872
2241	439	5	-3.733992	0.020224
2244	5	6	-4.941179	0.048558
2330	708	707	12.466653	3.666142
2339	712	707	7.164579	0.820889
2342	711	712	7.164579	0.820889
2350	707	361	19.631232	23.094957
2365	35	36	27.863050	7.808524
2371	37	38	27.863050	3.560339
2374	38	759	34.825671	38.030627
2376	759	24	34.825671	423.288876
2413	509	356	15.873082	8.784513
2419	17	18	-2.193986	0.184922
2428	14	15	-2.193986	0.184922
2444	50	19	-3.905347	0.017461
2450	48	49	-3.905347	0.017461
2464	43	44	-18.169835	0.377982
2485	32	42	-25.132456	2.232217
2530	643	376	-43.258414	23.639908
2536	375	760	-43.258414	108.480024
2542	761	763	-43.258414	26.103630
2547	762	252	-17.609830	4.255014
2549	252	622	-17.783231	0.626383
2552	622	619	-11.630432	0.152612
2558	618	782	-11.630432	0.380294
